OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE,Search Term
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356843"",""NOAA-OAR-SG-2025-28993"")",Sea Grant Programs Only - FY2025 Aquaculture Internship Programs,DOC-DOCNOAAERA,posted,10/25/2024,01/29/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/323740"",""2020-NIST-MEP-MDAP-01"")",NIST MEP Disaster Assessment Program,DOC-NIST,posted,01/17/2020,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352303"",""720674RFA00006"")",USAID/Lesotho Bophelo Bo Botle (Good Health) Activity,USAID-SAF,forecasted,02/12/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356525"",""72066824RFI00002"")",USAID South Sudan Peace Building and Independent Media (PBIM) Activity.,USAID-SSD,forecasted,09/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/302225"",""720FDA18APS00001"")",Augmenting Capacity for Humanitarian Emergencies of Infectious Diseases ,USAID,posted,03/27/2018,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350612"",""F24AS00431"")",F24AS00431 FY24 Recovery Implementation,DOI-FWS,posted,10/18/2023,12/31/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356615"",""72039125RFI00001"")",Human Rights Activity,USAID-PAK,forecasted,10/02/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356845"",""OFOP0001651"")",Strengthening Rule of Law and Criminal Defense Services in Georgia,DOS-INL,posted,10/25/2024,12/13/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337347"",""SMK800-22-PAS002"")",2022 Alumni Engagement Innovation Fund (AEIF 2022),DOS-MKD,forecasted,04/04/2022,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350615"",""F24AS00074"")",F24AS00074 FY24 Candidate Species Conservation,DOI-FWS,posted,10/18/2023,12/31/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355864"",""HHS-2025-ACL-AOD-DNCE-0063"")",Projects of National Significance: Achieving Economic Mobility,HHS-ACL,forecasted,08/02/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354778"",""HRSA-25-048"")",Ryan White HIV/AIDS Program States/Territories Part B Supplemental Grant Program,HHS-HRSA,forecasted,06/07/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/322814"",""AFCP20"")",AFCP 2020 Small Grants Competition,DOS-EGY,forecasted,12/02/2019,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/310894"",""72027919RFA00001"")",Request for Information (RFI) Inclusive Peace and Political Transition Processes Strengthened (PPTP),USAID-YEM,forecasted,12/06/2018,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356085"",""CDC-RFA-JG-25-0143"")",Expanding Efforts and Strategies to Protect and Improve Global Health Security in Kenya,HHS-CDC-GHC,forecasted,08/15/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349472"",""HHS-2024-ACL-AOD-DNCE-0023"")",Projects of National  Significance: Achieving Economic Mobility,HHS-ACL,forecasted,07/20/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355785"",""HHS-2025-ACL-AOA-ADPI-0015"")",Alzheimer's Disease Programs Initiative (ADPI) - States and Community Grants (Winter 2025),HHS-ACL,forecasted,07/31/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355481"",""CDC-RFA-JG-25-0055"")","HQ-supported transition of health information systems (HIS) to country ownership through the optimization of digital health strategies in policy, governance, workforce, and systems to achieve HIV/AIDS and TB epidemic control by 2030 under PEPFAR",HHS-CDC-GHC,forecasted,07/18/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355646"",""CMS-2L2-25-001"")",Health Equity Data Access Program (HEDAP),HHS-CMS,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/322815"",""AFCPLG20"")",AFCP 2020 Small Grants Competition,DOS-EGY,forecasted,12/02/2019,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342851"",""HHS-2023-ACL-AOD-DNCE-0030"")",PNS: Achieving Economic Mobility and Security,HHS-ACL,forecasted,08/01/2022,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351432"",""PAR-24-092"")",Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional),HHS-NIH11,posted,12/11/2023,01/07/2027,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356361"",""PAR-24-277"")",Basic Research in Cancer Health Disparities (R01 Clinical Trial Not Allowed),HHS-NIH11,posted,09/05/2024,11/05/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355671"",""DE-FOA-0003334"")",Offshore Wind National and Regional Research and Development,DOE-GFO,posted,07/26/2024,11/07/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354338"",""24-575"")",EPSCoR Centers of Research Excellence in Science and Technology,NSF,posted,05/20/2024,12/06/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/346136"",""PAR-23-106"")",Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional),HHS-NIH11,posted,02/14/2023,01/07/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/254073"",""PD-14-5720"")",Ocean Drilling Program,NSF,posted,04/18/2014,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343417"",""PAR-22-204"")",Development of Animal Models and Related Materials for HIV/AIDS Research (R24 Clinical Trials Not Allowed),HHS-NIH11,posted,09/09/2022,01/07/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342723"",""PAR-22-218"")",Biology of Bladder Cancer (R01 Clinical Trial Optional),HHS-NIH11,posted,07/26/2022,09/07/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342744"",""PAR-22-219"")",Biology of Bladder Cancer (R21 Clinical Trial Optional),HHS-NIH11,posted,07/26/2022,09/07/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343241"",""PAR-23-024"")","Catalyst Award for Early-Stage Investigators (ESIs) Pursuing Research on HIV Comorbidities, Coinfections, and Complications (DP1- Clinical Trial Optional)",HHS-NIH11,posted,08/24/2022,05/01/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349497"",""PAR-23-246"")",Innovative Research in Cancer Nanotechnology (IRCN; R01 Clinical Trial Not Allowed),HHS-NIH11,posted,07/20/2023,05/04/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348375"",""23-595"")",Centers of Research Excellence in Science and Technology,NSF,posted,05/25/2023,12/06/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348409"",""PAR-23-184"")",Center for Inherited Disease Research (CIDR) High Throughput Sequencing and Genotyping Resource Access (X01 Clinical Trial Not Allowed),HHS-NIH11,posted,05/26/2023,07/08/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349980"",""23-618"")","Decision, Risk and Management Sciences - Doctoral Dissertation Research Improvement Grants",NSF,posted,08/25/2023,01/21/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351481"",""24-511"")","NSF Scholarships in Science, Technology, Engineering, and Mathematics Program",NSF,posted,12/14/2023,03/04/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350604"",""PAR-24-045"")",Leveraging Extant Data to Understand Developmental Trajectories of Late Talking Children (R21 Clinical Trial Not Allowed),HHS-NIH11,posted,10/17/2023,11/20/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345222"",""PAR-23-069"")",HEAL Commercialization Readiness Pilot (CRP) Program: Embedded Entrepreneurs for Small Businesses in Pain Management (SB1 Clinical Trial Not Allowed),HHS-NIH11,posted,01/03/2023,09/05/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345342"",""PAR-23-062"")",Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R01 Clinical Trial Optional),HHS-NIH11,posted,01/10/2023,01/09/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350461"",""PAR-24-037"")",HIV Vaccine Research and Design (HIVRAD) Program (P01 Clinical Trial Not Allowed),HHS-NIH11,posted,10/04/2023,03/13/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351433"",""PAR-24-091"")",Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional),HHS-NIH11,posted,12/11/2023,05/07/2027,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351525"",""PAR-24-085"")",National Cancer Institute's Investigator-Initiated Early Phase Clinical Trials for Cancer Treatment and Diagnosis (R01 Clinical Trial Required),HHS-NIH11,posted,12/15/2023,01/07/2027,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348058"",""PD-23-1321"")","Decision, Risk and Management Sciences",NSF,posted,05/11/2023,01/21/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354646"",""ARCHIVAL-202411"")",Archival Projects,NARA,posted,05/31/2024,11/07/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352514"",""RFA-MH-25-100"")",BRAIN Initiative: Scaled reagent resources for brain cell type-specific access across vertebrate species (U01 Clinical Trial Not Allowed),HHS-NIH11,posted,02/20/2024,01/17/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353052"",""PAR-24-162"")","Pilot Studies of Biological, Behavioral and Social Mechanisms Contributing to HIV Pathogenesis Within the Mission of NIDDK (R21 Clinical Trial Not Allowed)",HHS-NIH11,posted,03/18/2024,01/07/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352711"",""PAS-24-163"")",Priority HIV/AIDS Research within the Mission of NIDDK (R01 Clinical Trial Optional),HHS-NIH11,posted,02/29/2024,01/07/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353280"",""24-563"")",Louis Stokes Alliances for Minority Participation,NSF,posted,03/29/2024,11/15/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345341"",""PAR-23-061"")",Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R21 Clinical Trial Optional),HHS-NIH11,posted,01/10/2023,01/09/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/346137"",""PAR-23-099"")",Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional),HHS-NIH11,posted,02/14/2023,01/07/2026,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356468"",""O-OVW-2024-172233"")",OVW Fiscal Year 2024 Resource Center on Workplace Responses to Assist Victims of Domestic and Sexual Violence,USDOJ-OJP-OVW,posted,09/19/2024,12/10/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356362"",""PAR-24-291"")",Basic Research in Cancer Health Disparities (R21 Clinical Trial Not Allowed),HHS-NIH11,posted,09/06/2024,11/16/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355478"",""CDC-RFA-JG-25-0044"")",Engaging faith-based organizations to control the HIV epidemic and related health threats in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/18/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355651"",""CDC-RFA-JG-25-0056"")","Strengthening economic analysis in support of program management for HIV, TB, and related health threats in South Africa (SA) under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355467"",""CDC-RFA-JG-25-0078"")",Sustaining HIV and TB epidemic control in Lesotho through health system strengthening and technical assistance under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355654"",""CDC-RFA-JG-25-0061"")",Capacity building and technical assistance for sustainable community-led monitoring (CLM) of HIV services in Sierra Leone (SL) under the President’s Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355488"",""CDC-RFA-JG-25-0093"")",Strengthening the Government of Namibia’s health information systems (HIS) to improve public health programs under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/18/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355446"",""CDC-RFA-JG-25-0049"")",Human resources for health (HRH) to achieve and sustain TB/HIV epidemic control in Malawi under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355479"",""CDC-RFA-JG-25-0065"")",Support for laboratory diagnosis and monitoring to scale up and improve HIV/AIDS care and treatment services for Caribbean countries supported under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/18/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355652"",""CDC-RFA-JG-25-0057"")","Combination prevention solutions to reach epidemic control among high risk, priority populations in high burden areas in South Africa (SA) under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355486"",""CDC-RFA-JG-25-0092"")",Strengthening comprehensive HIV and TB services and health systems in high-burden areas of Namibia under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/18/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355518"",""CDC-RFA-JG-25-0099"")",Supporting the implementation of comprehensive HIV prevention and treatment programs to achieve and sustain epidemic control in Zimbabwe under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/19/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355468"",""CDC-RFA-JG-25-0088"")","Implementation of integrated, resilient and sustainable health and laboratory quality systems for HIV/TB epidemic control in the Republic of Kenya under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355451"",""CDC-RFA-JG-25-0069"")","Improving prevention, treatment, and care services for HIV and TB for target populations in the Dominican Republic under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355653"",""CDC-RFA-JG-25-0060"")",Strengthening the national HIV care and treatment program in Sierra Leone (SL) to accelerate progress to achieve epidemic control Under the President’s Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355660"",""CDC-RFA-JG-25-0095"")",Implement and sustain a comprehensive response to HIV and technical assistance to strengthen the capacity of regional authorities in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355656"",""CDC-RFA-JG-25-0081"")",Supporting the government of Botswana (GOB) in strengthening national health data systems to ensure quality HIV-related strategic information services under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355658"",""CDC-RFA-JG-25-0084"")","Strengthening laboratory systems that support diagnosis, treatment, prevention, and management of HIV/AIDS in all public health laboratories in Botswana under the President’s Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/25/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355445"",""CDC-RFA-JG-25-0048"")",Achieving voluntary medical male circumcision (VMMC) saturation in Malawi under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355448"",""CDC-RFA-JG-25-0067"")",Building capacity along the continuum from prevention to care and treatment in the Central American region under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355447"",""CDC-RFA-JG-25-0050"")",Improving quality of care and health outcomes through innovative systems and technologies in Malawi under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC-GHC,forecasted,07/17/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356408"",""CDC-RFA-JG-25-0164"")","Supporting sustainable, accessible, integrated and quality laboratory systems for HIV/TB and related health threats in the Republic of Kenya under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,09/12/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/344352"",""PAR-23-033"")",Integrated Preclinical / Clinical AIDS Vaccine Development Program (IPCAVD) (U19 Clinical Trial Not Allowed),HHS-NIH11,posted,10/31/2022,03/14/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355947"",""72048624RFI00002"")",Request for Information-USAID/RDMA Thailand HIV Key Population Civil Society Organization Leadership,USAID-THA,posted,08/08/2024,10/31/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/169333"",""RFA-674-12-000006"")",Service Delivery and Support for Families Caring For Orphans and Vulnerable Children (OVC),USAID-SAF,posted,05/07/2012,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343653"",""W81XWH-22-DHAPP"")",Department of Defense HIV/AIDS Prevention Program,DOD-AMRAA,posted,09/19/2022,09/18/2027,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/233279"",""APS-FFP-13-000001"")",USAID/DCHA/FFP International Emergency Food Assistance,USAID,posted,05/06/2013,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343877"",""RFI-265-0922"")",Request for Information for USAID/Malawi VMMC Service  Delivery Provision Activity,USAID-MLW,forecasted,10/03/2022,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/336878"",""7200AA22APS00002"")",Promoting Results and Outcomes through Policy and Economic Levers (PROPEL),USAID,posted,12/07/2021,11/30/2027,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/133033"",""RFA-674-12-000002"")",Systems Strengthening for Better HIV/TB Patient Outcomes,USAID-SAF,posted,12/07/2011,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/90013"",""USAID-UGANDA-617-INFORMATION-04-2011"")",INFORMATION ON UGANDA LITERACY AND HEALTH EDUCATION PROGRAM,USAID-UGA,posted,04/27/2011,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356578"",""NOAA-ONMS-NFS-2025-28612"")",FY25 Dr. Nancy Foster Scholarship Program,DOC-DOCNOAAERA,posted,09/27/2024,02/14/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337733"",""72051722RFIOVC00003"")",Request for Information- Building Resilience amongst Families affected with HIV Activity,USAID-DOM,forecasted,01/31/2022,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338750"",""72069522RFI00001"")",HIV/AIDS Activities,USAID-BUR,forecasted,03/17/2022,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/344706"",""RFI-USAID-AFOLU-2023"")",Developing New Landscape Scale (AFOLU) GHG Calculator Tool,USAID,forecasted,11/30/2022,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/275168"",""SOL-OAA-15-000054"")","Annual Program Statement - Policy, Advocacy, and Communication Enhanced  for Population and Reproductive Health (PACE)",USAID,posted,03/13/2015,03/12/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356254"",""ED-GRANTS-083024-002"")","Office of Elementary and Secondary Education (OESE): Office of Migrant Education (OME): College Assistance Migrant Program (CAMP), Assistance Listing Numbers 84.149A",ED,posted,08/30/2024,11/13/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/169154"",""RFA-674-12-000005"")",Comprehensive District-Based Support for Better HIV/TB Patient Outcomes,USAID-SAF,posted,05/04/2012,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356648"",""ED-GRANTS-100824-003"")","OSERS-OSEP: Personnel Development to Improve Services and Results for Children with Disabilities--Preparation of Early Intervention and Special Education Personnel Serving Children with Disabilities who have High-Intensity Needs, ALN 84.325K",ED,posted,10/08/2024,12/03/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/330535"",""720-621-21-RFI-00001"")","RFI - Orphans and Vulnerable Children (OVC) Next Generation, Tanzania",USAID-TAN,forecasted,12/21/2020,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347106"",""RFI-2023-OVC-NW"")","Children, Adolescents & Families in the HIV Epidemic in the North West Province",USAID-SAF,forecasted,03/24/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348036"",""72067423RFI00004"")","Draft Notice of Funding Opportunity - Children, Adolescents, and Families in the HIV Epidemic in Limpopo Province",USAID-SAF,forecasted,05/10/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/346931"",""72053822RFI00004"")",Barbados and the Bahamas Youth Justice Activity,USAID-DOM,forecasted,03/17/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355284"",""DHS-USCG-STATE-2025"")",State Recreational Boating Safety (RBS) Grant Program,DHS-USCG,posted,07/08/2024,10/31/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351422"",""72067424RFA00001"")",Health Financing and Public Financial Management Systems Strengthening Activity in South Africa,USAID-SAF,forecasted,12/11/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354782"",""HRSA-25-052"")",Ryan White HIV/AIDS Program Part C Early Intervention Services Program: Limited Existing Geographic Service Areas,HHS-HRSA,posted,10/08/2024,12/10/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")",UNIVERSAL HEALTH CARE PROJECT APS,USAID-PHI,posted,08/01/2023,07/31/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356147"",""72062424RFA00010"")","Closing inequities in HIV Prevention, Care and Treatment among key populations in Burkina Faso Activity (Equity KP Burkina Faso)",USAID-WAF,posted,08/21/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356146"",""72062424RFA00009"")","Closing inequities in HIV Prevention, Care and Treatment among key populations in Togo Activity (Equity KP Togo)",USAID-WAF,posted,08/21/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356880"",""ED-GRANTS-103024-001"")","Office of Postsecondary Education (OPE): International Foreign Language Education (IFLE): Fulbright-Hays Doctoral Dissertation Research Abroad (DDRA) Fellowship Program, Assistance Listing Number 84.022A",ED,posted,10/30/2024,01/15/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/228973"",""RFA-391-13-000009"")","Child, Newborn, and Maternal Health Project",USAID-PAK,posted,04/03/2013,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/327797"",""RFI72066020R00012"")",Request for Information - New Sanitation Activity,USAID-DEM,forecasted,06/22/2020,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328144"",""RFI-685-20-IHSHCS-01"")",Improving Health Status and Human Capital in Senegal Activity,USAID-SEN,forecasted,07/17/2020,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354472"",""72069524RFA00004"")",Notice of Funding Opportunity for Kira Ukuze Activity,USAID-BUR,forecasted,05/28/2024,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/175614"",""RFA-294-12-000002"")",School Improvement Program,USAID-WES,posted,06/11/2012,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/49325"",""ED-GRANTS-072909-002"")",Office of Elementary & Secondary Education; Overview Information: Race to the Top Fund (ARRA)  CFDA 84.395,ED,posted,09/02/2009,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/332832"",""72066021APS00001"")",DEMOCRATIC REPUBLIC OF THE CONGO (DRC) RURAL AND PERI-URBAN SANITATION,USAID-DEM,forecasted,04/13/2021,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/332976"",""720BHA21APS00001"")",BHA Global APS for Humanitarian Capacity and System Strengthening,USAID,posted,04/20/2021,12/31/2030,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/148373"",""RFA-294-12-000006"")",Palestinian Community Infrastructure Development,USAID,posted,03/02/2012,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348888"",""720BHA23APS00002"")",BHA Multi Year Annual Program Statement (BHA MYAPS),USAID,posted,06/22/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338128"",""72067522APS00002"")",Guinea Local Health System Strengthening (GLHSS),USAID-GUI,posted,02/16/2022,02/25/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356854"",""DFOP0016956"")",FY 2025 PRM Request for Full Proposals for Nigeria,DOS-PRM,posted,10/25/2024,11/29/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/315120"",""7200AA19APS00002"")","MOMENTUM (Moving Integrated, Quality Maternal, Newborn, and Child Health Services, Voluntary Family Planning, and Reproductive Health Care [MNCH/FP/RH] to Scale)",USAID,posted,04/22/2019,09/30/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328814"",""RFI-278-20-HSQA"")",Health Service Quality Accelerator,USAID-JOR,forecasted,08/27/2020,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356646"",""ED-GRANTS-100824-002"")","OSERS-OSEP: Personnel Preparation of Special Education, Early Intervention, and Related Services Personnel at Historically Black Colleges and Universities, Tribally Controlled Colleges and Universities, and Other Minority Serving Institutions, ALN 84.325M",ED,posted,10/08/2024,12/12/2024,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356840"",""693JJ325NF00008"")","Fiscal Years 2024-2026 Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) Program",DOT-FHWA,posted,10/25/2024,02/24/2025,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349216"",""72052123RFI00002"")",Sources Sought Notice for HIV Affected Orphans and Vulnerable Children (OVC) and Adolescent Girls and Young Women (AGYW),USAID-HAI,forecasted,07/12/2023,,"""AID"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355099"",""72030624RFI00007"")","USAID/Afghanistan New Monitoring, Evaluation, Collaboration, Learning and Adaptation Activity",USAID-AFG,forecasted,06/24/2024,,"""AID"""
